ticker,f_rsi2,f_rsi14,f_atr_pct,f_pullback,f_vs_sma50,f_vs_sma200,f_trend_spread,f_adx,f_dvol_musd,f_down_days,signal_date,entry_date,exit_date,days,entry,stop,exit,stop_dist_pct,r,gross_pct,mae_pct,reason,score,cost_pct_margin
LMT,5.7,43.7,1.36,3.2,-0.39,7.82,8.24,18.7,392.0,3,2019-12-03,2019-12-04,2019-12-20,13,384.64,376.87,386.47,2.02,-0.007,0.48,-1.29,tiempo,57.7,4.9
MU,10.9,43.5,3.03,7.09,-1.98,6.41,8.55,9.8,751.0,3,2019-12-03,2019-12-04,2019-12-20,13,46.18,44.13,55.06,4.45,2.802,19.23,-0.97,tiempo,60.4,4.9
STX,8.8,49.3,1.77,3.37,3.12,17.11,13.56,20.1,105.0,3,2019-12-03,2019-12-04,2019-12-09,4,58.86,57.31,57.31,2.63,-1.084,-2.63,-1.09,stop,57.8,2.2
AVGO,5.6,48.7,2.03,4.1,3.79,6.01,2.13,22.9,619.0,3,2019-12-03,2019-12-04,2019-12-13,8,30.98,30.04,31.54,3.01,0.942,1.83,-0.85,stop,49.4,3.4
NVDA,7.8,50.2,2.83,6.13,5.0,19.21,13.54,19.9,1971.0,3,2019-12-03,2019-12-04,2019-12-20,13,5.28,4.98,5.98,5.6,1.861,13.43,-1.66,tiempo,68.7,4.9
GE,1.0,53.5,2.67,5.09,10.41,12.2,1.62,44.9,592.0,3,2019-12-03,2019-12-04,2019-12-20,13,55.67,53.48,54.98,3.94,-0.442,-1.25,-3.67,tiempo,53.9,4.9
AAPL,8.3,52.7,1.56,3.13,5.58,23.81,17.27,31.3,5744.0,3,2019-12-03,2019-12-04,2019-12-20,13,65.27,63.75,69.86,2.33,2.05,7.04,-0.15,tiempo,59.7,4.9
MS,5.6,50.3,1.69,3.7,5.22,9.34,3.91,31.1,408.0,3,2019-12-03,2019-12-04,2019-12-20,13,48.44,47.22,50.69,2.51,1.479,4.64,-0.56,tiempo,46.5,4.9
COST,4.1,41.0,1.27,3.13,-0.54,10.47,11.07,17.8,528.0,3,2019-12-03,2019-12-04,2019-12-13,8,296.19,290.57,290.57,1.9,-1.179,-1.9,-1.25,stop,64.4,3.4
GS,2.2,39.2,1.69,4.95,-0.15,3.75,3.9,15.1,439.0,3,2019-12-03,2019-12-04,2019-12-20,13,215.43,209.28,228.93,2.85,1.676,6.27,-1.42,tiempo,62.2,4.9
ORCL,39.6,38.9,1.26,3.41,-1.16,0.14,1.31,15.9,470.0,2,2019-12-05,2019-12-06,2019-12-13,6,55.03,54.0,55.0,1.88,0.586,-0.05,-0.76,gap,46.8,2.8
INTC,12.2,43.8,1.8,4.79,2.14,9.4,7.11,26.9,941.0,2,2019-12-05,2019-12-06,2019-12-24,13,56.66,55.14,59.41,2.68,1.473,4.85,-0.42,tiempo,62.8,4.9
CRM,12.5,42.5,1.89,4.76,0.63,0.79,0.16,23.8,906.0,3,2019-12-11,2019-12-12,2019-12-31,13,156.88,152.43,162.64,2.83,1.225,3.67,-1.0,tiempo,42.7,4.9
META,7.3,43.5,1.86,4.03,0.91,4.42,3.49,20.8,2529.0,2,2019-12-13,2019-12-16,2020-01-03,13,196.8,191.38,208.67,2.75,1.668,6.03,-1.01,tiempo,58.0,4.9
MU,4.6,60.3,2.72,3.99,9.48,22.28,11.69,26.3,1279.0,3,2019-12-30,2019-12-31,2020-01-17,13,53.88,51.71,57.66,4.03,1.5,7.02,-2.04,tiempo,63.8,4.9
MRVL,14.5,47.2,2.7,6.21,-0.93,4.88,5.87,16.0,203.0,2,2020-01-06,2020-01-07,2020-01-24,13,26.3,25.26,26.96,3.96,0.944,2.52,-1.94,stop,51.6,4.9
AMAT,14.4,51.2,2.18,3.71,2.86,22.76,19.34,22.7,378.0,2,2020-01-06,2020-01-07,2020-01-24,13,60.46,58.5,62.0,3.23,0.992,2.55,-0.53,tiempo,59.8,4.9
MAR,0.6,46.7,1.43,5.35,3.63,8.83,5.01,40.7,209.0,3,2020-01-07,2020-01-08,2020-01-21,9,147.22,144.1,144.1,2.12,-1.175,-2.12,-1.7,stop,58.5,3.7
GE,7.7,57.0,2.38,3.87,3.72,17.14,12.94,29.0,681.0,3,2020-01-10,2020-01-13,2020-01-30,13,59.36,54.35,63.45,8.44,0.757,6.88,-4.7,tiempo,63.5,4.9
WDC,14.3,63.8,3.13,3.67,19.06,25.49,5.41,46.5,324.0,1,2020-01-15,2020-01-16,2020-02-04,13,51.84,47.11,51.72,9.11,-0.078,-0.22,-5.93,tiempo,40.1,4.9
TSLA,31.3,71.8,3.59,5.1,30.23,83.81,41.15,55.9,7874.0,3,2020-01-17,2020-01-21,2020-02-05,12,35.35,29.09,54.88,17.71,2.284,55.26,-0.35,gap,55.2,4.6
QCOM,23.6,57.2,2.27,4.08,4.48,16.48,11.49,30.3,790.0,3,2020-01-23,2020-01-24,2020-01-27,2,92.95,88.41,87.3,4.88,-1.278,-6.08,-4.43,gap,50.2,1.6
TSM,8.2,47.6,2.01,4.71,2.04,22.99,20.53,23.5,398.0,2,2020-01-23,2020-01-24,2020-01-27,2,58.09,56.36,55.62,2.98,-1.482,-4.25,-1.08,gap,72.5,1.6
LRCX,5.1,47.4,2.49,5.96,2.77,27.8,24.35,38.0,420.0,2,2020-01-27,2020-01-28,2020-01-31,4,29.88,28.78,29.88,3.68,0.69,0.0,-1.81,stop,81.3,2.2
GS,3.9,50.4,1.75,4.64,3.64,12.74,8.78,32.0,742.0,3,2020-01-27,2020-01-28,2020-02-13,13,239.49,233.23,238.35,2.61,-0.37,-0.48,-1.68,tiempo,61.5,4.9
AMD,9.4,58.9,3.05,4.74,11.92,45.4,29.91,43.4,2527.0,2,2020-01-27,2020-01-28,2020-01-29,2,50.03,47.6,47.6,4.86,-1.033,-4.86,-1.1,stop,63.7,1.6
MRVL,6.4,43.9,3.34,9.2,-1.53,3.69,5.3,14.2,255.0,2,2020-01-27,2020-01-28,2020-01-29,2,26.41,25.11,25.11,4.91,-1.033,-4.91,-1.33,stop,53.5,1.6
META,1.1,53.0,1.59,3.27,4.18,12.0,7.51,35.6,2704.0,3,2020-01-27,2020-01-28,2020-01-30,3,216.14,211.0,206.53,2.38,-0.265,-4.45,-1.21,gap,58.6,1.9
